Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.69,94.93,121.7,129.43,121.5
Albania,ALB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.84,106.2,107.76,114.12,114.75
Algeria,DZA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.4,115.36,121.01,120.95,108.76
American Samoa,ASM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Andorra,AND,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Angola,AGO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.74,105.93,107.59,113.25,115.48
Antigua and Barbuda,ATG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,89.69,87.95,84.77,81.19,81.5
Argentina,ARG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.81,92.17,113.13,107.36,106.63
Armenia,ARM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,87.87,71.74,68.53,76.27,77.94
Aruba,ABW,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Australia,AUS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,131.17,104.5,84.06,76.62,127.11
Austria,AUT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,93.71,98.78,98.08,103.38,100.74
Azerbaijan,AZE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,115.97,125.25,137.56,137.81,142.51
"Bahamas, The",BHS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,100.75,102.52,100.6,101.09,101.46
Bahrain,BHR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,94.53,95.87,99.51,102.14,106.32
Bangladesh,BGD,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,108.47,108,109.87,111.84,117.01
Barbados,BRB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.47,114.82,97.21,95.38,87.63
Belarus,BLR,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,101.3,91.5,96.1,101.04,92.93
Belgium,BEL,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.1,86.86,99.86,95.57,98.57
Belize,BLZ,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,103.24,95.73,93.17,93.33,99.87
Benin,BEN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,110.4,117.21,124.72,122.3,129.16
Bermuda,BMU,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Bhutan,BTN,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,106.29,88.02,94.25,102.65,90.97
