Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.62081718,14.20841891,14.8313194,15.53361392,16.82606226
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.54604626,6.65958786,..,..,..
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.27938414,6.16302586,6.25170851,6.32117987,..
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.16179609,7.43045759,7.40840626,9.05175877,..
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.79383755,2.58879566,2.65592647,2.91183472,..
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.87493944,4.84869289,4.37567186,5.61472893,..
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.44225693,9.49909592,9.47170544,9.98438072,..
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.36270523,10.00543404,11.3798008,12.24103546,..
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.1257143,10.07391548,10.22989082,10.6489954,..
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.38402557,10.34483242,10.47507858,11.47426033,12.17357063
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.73651457,3.55621028,4.0731144,4.60676527,..
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.67579222,6.01182079,5.90402126,7.59363365,..
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.51235688,4.12745647,3.95980344,4.72300106,..
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.78472567,2.71634603,2.620749,2.6280098,..
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.62216997,6.56259108,6.1940732,7.20014429,..
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.75974846,5.52699471,5.86133814,6.40607214,..
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.75165462,10.78789711,10.6635952,11.06453228,..
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.74651003,5.80132008,6.07060003,6.92425728,..
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.60406828,2.48485804,2.32052207,2.5893681,..
Bermuda,BMU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
Bhutan,BTN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.3407371,3.2427721,3.60361075,4.37174511,..
