Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,100.02,96.07,112.55,118.09,113.74
Albania,ALB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.9,106.08,104.11,105.77,103.44
Algeria,DZA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,102.87,108.6,112.16,112.31,104.62
American Samoa,ASM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
Andorra,AND,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
Angola,AGO,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.19,105.59,107.53,112.6,114.59
Antigua and Barbuda,ATG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,93.31,87.56,86.62,86.45,84.87
Argentina,ARG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,106.03,97.49,112.59,109.35,108.23
Armenia,ARM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,95.24,83.48,81.28,85.99,84.87
Aruba,ABW,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
Australia,AUS,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,108.12,97.5,91.53,89.56,106.7
Austria,AUT,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,98.48,100.51,99.96,101.84,99.8
Azerbaijan,AZE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,107.73,113.33,121.46,122.2,126.98
"Bahamas, The",BHS,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,100.71,101.85,99.87,99.94,99.55
Bahrain,BHR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,137.69,138.95,129.86,121.21,128.36
Bangladesh,BGD,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,107.85,107.75,108.34,111.48,116.39
Barbados,BRB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,102.65,108.19,105.02,88.36,88.78
Belarus,BLR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.29,99.37,101.63,106.62,103
Belgium,BEL,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,102.59,98.38,100.97,101.49,102.49
Belize,BLZ,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.64,98.65,96.97,95.16,101.44
Benin,BEN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,104.57,109.45,117.25,114.66,119.17
Bermuda,BMU,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
Bhutan,BTN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,109.79,95.2,102.23,111.02,99.35
Bolivia,BOL,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.63,109.45,109.81,109.36,116.57
Bosnia and Herzegovina,BIH,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,94.61,115.08,105.35,115.05,95.54
Botswana,BWA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,93.21,95.98,100.88,100.72,106.04
Brazil,BRA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,107.16,107.09,109.25,111.58,112.2
British Virgin Islands,VGB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
Brunei Darussalam,BRN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,99.96,102.11,100.29,107.52,116.68
Bulgaria,BGR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,106.22,105.8,107.73,90.37,109.59
Burkina Faso,BFA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,95.27,112.24,121.26,123.97,116.21
Burundi,BDI,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.08,124.44,135.1,132.41,123.7
Cabo Verde,CPV,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,91.79,77.86,78.9,80.66,82.01
Cambodia,KHM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,107.55,111.42,110.22,112.52,115.25
Cameroon,CMR,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,98.81,99.71,100.86,100.72,103.47
Canada,CAN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,108.54,109.32,110.39,113.34,95.95
