Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,99.69,94.93,121.7,129.43,121.5
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.62081718,14.20841891,14.8313194,15.53361392,16.82606226
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,100.02,96.07,112.55,118.09,113.74
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Afghanistan,AFG,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.016,63.081,63.565,62.575,61.982
Afghanistan,AFG,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Afghanistan,AFG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Afghanistan,AFG,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,54.3,57.6,63.1,70.1,79.1
Afghanistan,AFG,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,17.3,17.3,19.8,22.6,28.4
Afghanistan,AFG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,22.7,24,26.9,28.8,30.1
Albania,ALB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,105.84,106.2,107.76,114.12,114.75
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.54604626,6.65958786,..,..,..
Albania,ALB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.9,106.08,104.11,105.77,103.44
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,24.6,22.7,23.6,22.8,..
Albania,ALB,Income share held by lowest 10%,SI.DST.FRST.10,3.1,3.2,3.5,3.4,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.047,79.184,79.282,76.989,76.463
Albania,ALB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,5.944848467,5.950160932,5.966775754,5.992350456,..
Albania,ALB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,23.4,23,21.8,22,..
Albania,ALB,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,38.6,37.1,33.8,30.9,30.2
Albania,ALB,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,11,10,8.8,7.7,7.5
Albania,ALB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,4.2,4.1,4.1,4.1,4.1
Algeria,DZA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,104.4,115.36,121.01,120.95,108.76
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.27938414,6.16302586,6.25170851,6.32117987,..
Algeria,DZA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,102.87,108.6,112.16,112.31,104.62
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Algeria,DZA,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.743,76.066,76.474,74.453,76.377
Algeria,DZA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.087203761,7.125422119,7.159965538,7.197213007,..
Algeria,DZA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Algeria,DZA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,19.8,17.6,17.6,19,19.4
Algeria,DZA,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,11.4,9.3,6.9,6.2,5.6
Algeria,DZA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2.6,2.5,2.5,2.5,2.5
American Samoa,ASM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
American Samoa,ASM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
American Samoa,ASM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
American Samoa,ASM,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..
American Samoa,ASM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
American Samoa,ASM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
American Samoa,ASM,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..
American Samoa,ASM,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,..
American Samoa,ASM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..
Andorra,AND,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..,..,..,..,..
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.16179609,7.43045759,7.40840626,9.05175877,..
Andorra,AND,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,..,..,..,..
Andorra,AND,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Andorra,AND,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..
Andorra,AND,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,9.310531252,9.336954829,9.364364863,9.394871191,..
Andorra,AND,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..
Andorra,AND,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..
Andorra,AND,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,..
Andorra,AND,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..
Angola,AGO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,102.74,105.93,107.59,113.25,115.48
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.79383755,2.58879566,2.65592647,2.91183472,..
Angola,AGO,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,103.19,105.59,107.53,112.6,114.59
Angola,AGO,Income share held by highest 10%,SI.DST.10TH.10,..,39.6,..,..,..
Angola,AGO,Income share held by lowest 10%,SI.DST.FRST.10,..,1.3,..,..,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.68,62.144,62.448,62.261,61.643
Angola,AGO,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,15.53096316,15.54323334,15.5414908,15.52779066,..
