Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Albania,ALB,Income share held by lowest 10%,SI.DST.FRST.10,3.1,3.2,3.5,3.4,..
Algeria,DZA,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
American Samoa,ASM,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Andorra,AND,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Angola,AGO,Income share held by lowest 10%,SI.DST.FRST.10,..,1.3,..,..,..
Antigua and Barbuda,ATG,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Argentina,ARG,Income share held by lowest 10%,SI.DST.FRST.10,1.8,1.8,1.7,1.7,1.8
Armenia,ARM,Income share held by lowest 10%,SI.DST.FRST.10,3.5,3.3,3.7,4.4,4
Aruba,ABW,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Australia,AUS,Income share held by lowest 10%,SI.DST.FRST.10,..,2.7,..,..,..
Austria,AUT,Income share held by lowest 10%,SI.DST.FRST.10,3,2.9,2.9,2.8,..
Azerbaijan,AZE,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
"Bahamas, The",BHS,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Bahrain,BHR,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Bangladesh,BGD,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Barbados,BRB,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Belarus,BLR,Income share held by lowest 10%,SI.DST.FRST.10,4.2,4.3,4.2,4.4,..
Belgium,BEL,Income share held by lowest 10%,SI.DST.FRST.10,3.4,3.5,3.6,3.7,..
Belize,BLZ,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Benin,BEN,Income share held by lowest 10%,SI.DST.FRST.10,..,2.9,..,..,..
Bermuda,BMU,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Bhutan,BTN,Income share held by lowest 10%,SI.DST.FRST.10,2.7,..,..,..,..
Bolivia,BOL,Income share held by lowest 10%,SI.DST.FRST.10,1.1,1.4,1.7,1.5,1.8
Bosnia and Herzegovina,BIH,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Botswana,BWA,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Brazil,BRA,Income share held by lowest 10%,SI.DST.FRST.10,1,1,0.9,1.6,1
British Virgin Islands,VGB,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Brunei Darussalam,BRN,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Bulgaria,BGR,Income share held by lowest 10%,SI.DST.FRST.10,1.9,1.9,1.9,2.1,..
Burkina Faso,BFA,Income share held by lowest 10%,SI.DST.FRST.10,..,2.6,..,..,..
Burundi,BDI,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Cabo Verde,CPV,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Cambodia,KHM,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Cameroon,CMR,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Canada,CAN,Income share held by lowest 10%,SI.DST.FRST.10,2.7,2.8,2.9,..,..
Cayman Islands,CYM,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Central African Republic,CAF,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,2.1
Chad,TCD,Income share held by lowest 10%,SI.DST.FRST.10,..,2.9,..,..,..
Channel Islands,CHI,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Chile,CHL,Income share held by lowest 10%,SI.DST.FRST.10,2.3,..,..,2.1,..
China,CHN,Income share held by lowest 10%,SI.DST.FRST.10,2.6,2.7,2.8,3.1,..
Colombia,COL,Income share held by lowest 10%,SI.DST.FRST.10,1.4,1.4,1.2,0.9,1.2
Comoros,COM,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
"Congo, Dem. Rep.",COD,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
"Congo, Rep.",COG,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Costa Rica,CRI,Income share held by lowest 10%,SI.DST.FRST.10,1.6,1.5,1.6,1.4,1.6
Cote d'Ivoire,CIV,Income share held by lowest 10%,SI.DST.FRST.10,..,2.9,..,..,..
Croatia,HRV,Income share held by lowest 10%,SI.DST.FRST.10,2.7,2.9,3,2.9,..
Cuba,CUB,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Curacao,CUW,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Cyprus,CYP,Income share held by lowest 10%,SI.DST.FRST.10,3.4,3.5,3.5,3.5,..
Czechia,CZE,Income share held by lowest 10%,SI.DST.FRST.10,4.2,4.2,4.2,4,..
Denmark,DNK,Income share held by lowest 10%,SI.DST.FRST.10,3.7,3.7,3.8,3.7,..
Djibouti,DJI,Income share held by lowest 10%,SI.DST.FRST.10,1.9,..,..,..,..
Dominica,DMA,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Dominican Republic,DOM,Income share held by lowest 10%,SI.DST.FRST.10,2.3,2.3,2.3,2.4,2.6
Ecuador,ECU,Income share held by lowest 10%,SI.DST.FRST.10,1.6,1.6,1.6,1.3,1.6
"Egypt, Arab Rep.",EGY,Income share held by lowest 10%,SI.DST.FRST.10,3.8,..,3.8,..,..
El Salvador,SLV,Income share held by lowest 10%,SI.DST.FRST.10,2.5,2.4,2.4,..,1.9
Equatorial Guinea,GNQ,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Eritrea,ERI,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Estonia,EST,Income share held by lowest 10%,SI.DST.FRST.10,3,3,3,3,..
Eswatini,SWZ,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Ethiopia,ETH,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Faroe Islands,FRO,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Fiji,FJI,Income share held by lowest 10%,SI.DST.FRST.10,..,..,3.5,..,..
Finland,FIN,Income share held by lowest 10%,SI.DST.FRST.10,3.8,3.8,3.8,3.9,..
France,FRA,Income share held by lowest 10%,SI.DST.FRST.10,3.2,3.2,3.1,3.1,..
French Polynesia,PYF,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..
Gabon,GAB,Income share held by lowest 10%,SI.DST.FRST.10,2.2,..,..,..,..
"Gambia, The",GMB,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,2.6,..
Georgia,GEO,Income share held by lowest 10%,SI.DST.FRST.10,2.3,2.4,2.6,2.7,2.7
Germany,DEU,Income share held by lowest 10%,SI.DST.FRST.10,2.8,3.1,3.1,..,..
