Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,24.6,22.7,23.6,22.8,..
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
American Samoa,ASM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Andorra,AND,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Angola,AGO,Income share held by highest 10%,SI.DST.10TH.10,..,39.6,..,..,..
Antigua and Barbuda,ATG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,29.7,29.8,31,30.3,30.8
Armenia,ARM,Income share held by highest 10%,SI.DST.10TH.10,28.4,29.2,25.2,21.5,23.6
Aruba,ABW,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Australia,AUS,Income share held by highest 10%,SI.DST.10TH.10,..,26.6,..,..,..
Austria,AUT,Income share held by highest 10%,SI.DST.10TH.10,23,23.9,23.2,23.1,..
Azerbaijan,AZE,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
"Bahamas, The",BHS,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Bahrain,BHR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Bangladesh,BGD,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Barbados,BRB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Belarus,BLR,Income share held by highest 10%,SI.DST.10TH.10,21.3,21.4,21.3,20.7,..
Belgium,BEL,Income share held by highest 10%,SI.DST.10TH.10,21.9,22.2,22.3,21.4,..
Belize,BLZ,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Benin,BEN,Income share held by highest 10%,SI.DST.10TH.10,..,30,..,..,..
Bermuda,BMU,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Bhutan,BTN,Income share held by highest 10%,SI.DST.10TH.10,27.9,..,..,..,..
Bolivia,BOL,Income share held by highest 10%,SI.DST.10TH.10,32,30.6,30.8,32.6,30.3
Bosnia and Herzegovina,BIH,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Botswana,BWA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Brazil,BRA,Income share held by highest 10%,SI.DST.10TH.10,42,42.5,41.9,39.4,41.5
British Virgin Islands,VGB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Brunei Darussalam,BRN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Bulgaria,BGR,Income share held by highest 10%,SI.DST.10TH.10,31.9,32.6,31.4,32.6,..
Burkina Faso,BFA,Income share held by highest 10%,SI.DST.10TH.10,..,35.3,..,..,..
Burundi,BDI,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Cabo Verde,CPV,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Cambodia,KHM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Cameroon,CMR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Canada,CAN,Income share held by highest 10%,SI.DST.10TH.10,25.3,24.8,24.4,..,..
Cayman Islands,CYM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
Central African Republic,CAF,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,33.1
Chad,TCD,Income share held by highest 10%,SI.DST.10TH.10,..,29.7,..,..,..
Channel Islands,CHI,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..
