Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Albania,ALB,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,11.7,11.8,8.6,9.6,..
Algeria,DZA,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
American Samoa,ASM,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Andorra,AND,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Angola,AGO,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,22.8,..,..,..
Antigua and Barbuda,ATG,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Argentina,ARG,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,19.7,20.2,21.2,21.2,18.8
Armenia,ARM,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,6.9,7.8,7.3,4.6,6.3
Aruba,ABW,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Australia,AUS,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,11.7,..,..,..
Austria,AUT,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,10.7,10.2,10.5,11,..
Azerbaijan,AZE,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
"Bahamas, The",BHS,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Bahrain,BHR,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Bangladesh,BGD,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Barbados,BRB,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Belarus,BLR,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,5.2,5.2,5.5,3.9,..
Belgium,BEL,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,9.9,9.6,8.6,7.9,..
Belize,BLZ,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Benin,BEN,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,11,..,..,..
Bermuda,BMU,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Bhutan,BTN,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,13.8,..,..,..,..
Bolivia,BOL,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,21.8,20.1,17.8,17.9,17.4
Bosnia and Herzegovina,BIH,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Botswana,BWA,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Brazil,BRA,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,23.1,23.5,24.1,18.3,22.2
British Virgin Islands,VGB,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
Brunei Darussalam,BRN,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,..,..,..,..,..
