Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Albania,ALB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,5.944848467,5.950160932,5.966775754,5.992350456,..
Algeria,DZA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.087203761,7.125422119,7.159965538,7.197213007,..
American Samoa,ASM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Andorra,AND,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,9.310531252,9.336954829,9.364364863,9.394871191,..
Angola,AGO,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,15.53096316,15.54323334,15.5414908,15.52779066,..
Antigua and Barbuda,ATG,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,15.31493241,15.34364404,15.35576703,15.35550278,..
Argentina,ARG,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.330875529,7.346415366,7.358161142,7.361601633,..
Armenia,ARM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,8.298032132,8.285772848,8.273699292,8.272253773,..
Aruba,ABW,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Australia,AUS,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,6.494630549,6.513477917,6.533125137,6.553680899,..
Austria,AUT,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,6.457860929,6.40662953,6.355389101,6.305404111,..
Azerbaijan,AZE,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,11.04748277,11.04561602,11.03797996,11.03530631,..
"Bahamas, The",BHS,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,15.42321265,15.4159539,15.40439088,15.39718187,..
Bahrain,BHR,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,12.0944303,12.21684533,12.33236456,12.44146062,..
Bangladesh,BGD,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,23.47035394,23.28589806,23.1435331,23.04670249,..
Barbados,BRB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Belarus,BLR,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,5.106395086,5.11230238,5.116320234,5.122986416,..
Belgium,BEL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,6.840933335,6.81084784,6.782403938,6.756188073,..
Belize,BLZ,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,11.46112089,11.50022687,11.53386808,11.5589646,..
Benin,BEN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,16.83932758,16.69812424,16.5613094,16.44582801,..
Bermuda,BMU,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Bhutan,BTN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,11.52406252,11.47760321,11.45118534,11.43096562,..
Bolivia,BOL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,8.046815643,8.003493779,7.96611531,7.933435546,..
Bosnia and Herzegovina,BIH,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,5.152884762,5.145761605,5.144617647,5.154733974,..
Botswana,BWA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,16.96763617,16.91463647,16.86317698,16.83437991,..
Brazil,BRA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,8.601920539,8.640901624,8.671332659,8.698070886,..
British Virgin Islands,VGB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Brunei Darussalam,BRN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,13.50721456,13.55716814,13.60193948,13.64151602,..
Bulgaria,BGR,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,11.23297843,11.27161413,11.31013727,11.36161178,..
Burkina Faso,BFA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,18.68069059,18.60022978,18.53367271,18.46865415,..
Burundi,BDI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,14.91600338,14.88147374,14.82977363,14.77690155,..
Cabo Verde,CPV,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Cambodia,KHM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,11.88579851,11.72561576,11.57745855,11.44900477,..
Cameroon,CMR,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,12.62741624,12.58366342,12.54242396,12.51261546,..
Canada,CAN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,6.475156756,6.524354086,6.574049361,6.625426609,..
Cayman Islands,CYM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Central African Republic,CAF,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,16.36289614,16.34634167,16.34442942,16.35473066,..
Chad,TCD,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Channel Islands,CHI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Chile,CHL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,6.583185416,6.672755059,6.755613468,6.83669713,..
China,CHN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,4.981858305,4.963477394,4.962522124,4.973518577,..
Colombia,COL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,10.75755859,10.82091127,10.88666678,10.95282506,..
Comoros,COM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,23.47133018,23.3203247,23.17438682,23.02724006,..
"Congo, Dem. Rep.",COD,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,10.42821858,10.32804378,10.2389879,10.15699502,..
"Congo, Rep.",COG,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,11.68747415,11.80806403,11.89347494,11.92652931,..
Costa Rica,CRI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,8.614623006,8.636792742,8.671331746,8.716621057,..
Cote d'Ivoire,CIV,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,18.53292228,18.43593712,18.35391593,18.28976148,..
Croatia,HRV,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,5.029995668,5.01543031,5.002799493,4.99451209,..
Cuba,CUB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.130210712,7.107125446,7.083110959,7.062041879,..
Curacao,CUW,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Cyprus,CYP,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Czechia,CZE,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.521160057,7.549728261,7.579305587,7.609481314,..
Denmark,DNK,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,4.899735974,4.866481263,4.835726626,4.807598298,..
Djibouti,DJI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Dominica,DMA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Dominican Republic,DOM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,12.87194218,13.0379606,13.22340736,13.43542101,..
Ecuador,ECU,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,10.72426635,10.7034171,10.66828309,10.62690669,..
"Egypt, Arab Rep.",EGY,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
El Salvador,SLV,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,10.27043574,10.24676455,10.23140664,10.22300061,..
Equatorial Guinea,GNQ,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Eritrea,ERI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,15.2425663,15.21473053,15.18945806,15.1601429,..
Estonia,EST,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,4.181996604,4.17479855,4.17134374,4.173697894,..
Eswatini,SWZ,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,10.35680656,10.3039581,10.25599641,10.20161162,..
Ethiopia,ETH,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Faroe Islands,FRO,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Fiji,FJI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.41961432,7.409046691,7.403890933,7.401885145,..
Finland,FIN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,4.111304654,4.096895794,4.08233691,4.069185571,..
France,FRA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.48119073,7.461458416,7.443856631,7.428983167,..
French Polynesia,PYF,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Gabon,GAB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,14.68044245,14.67291743,14.66220042,14.64981828,..
"Gambia, The",GMB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,13.45422093,13.37802884,13.30886256,13.24914954,..
Georgia,GEO,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.221720662,7.280543658,7.347129187,7.420559377,..
Germany,DEU,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,6.752513437,6.733451932,6.720974361,6.714126163,..
Ghana,GHA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,14.55987708,14.50085243,14.45498341,14.41585206,..
Gibraltar,GIB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Greece,GRC,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,11.29846507,11.34035752,11.37349383,11.40590068,..
Greenland,GRL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Grenada,GRD,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Guam,GUM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Guatemala,GTM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,14.48411592,14.4862726,14.4882396,14.49437989,..
Guinea,GIN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Guinea-Bissau,GNB,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,20.42892323,20.12995446,19.83192923,19.54887142,..
Guyana,GUY,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,17.14761647,17.16153995,17.16297161,17.16307383,..
Haiti,HTI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Honduras,HND,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,12.89400252,12.95266852,13.0201067,13.09450185,..
"Hong Kong SAR, China",HKG,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Hungary,HUN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,8.376048073,8.347405414,8.326790354,8.316534957,..
Iceland,ISL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,3.926703672,3.948955418,3.971190176,3.992822369,..
India,IND,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,28.08633456,27.8332971,27.62056764,27.43525934,..
Indonesia,IDN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,10.10702444,10.03119285,9.972789871,9.934186169,..
"Iran, Islamic Rep.",IRN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Iraq,IRQ,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,10.8513425,10.85564137,10.85294022,10.8613574,..
Ireland,IRL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,5.539726011,5.563705121,5.600997959,5.645686692,..
Isle of Man,IMN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Israel,ISR,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,9.123334171,9.073655462,9.027737322,8.983944543,..
Italy,ITA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.196261431,7.198214937,7.203277979,7.21055095,..
Jamaica,JAM,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,13.96408959,13.86746675,13.77480082,13.68120587,..
Japan,JPN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,11.15996354,11.20264405,11.25311713,11.30468889,..
Jordan,JOR,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,18.13439757,18.39669588,18.662243,18.93666383,..
Kazakhstan,KAZ,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,5.426055083,5.381284458,5.335832328,5.291126034,..
Kenya,KEN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,10.3358498,10.20389907,10.08017709,9.971119457,..
Kiribati,KIR,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,9.029976382,9.028124113,9.030477195,9.031391662,..
"Korea, Dem. People's Rep.",PRK,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
"Korea, Rep.",KOR,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,6.973237953,7.130586667,7.294277796,7.463083879,..
Kosovo,XKX,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Kuwait,KWT,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,13.65983699,13.90467077,14.14040683,14.36604616,..
Kyrgyz Republic,KGZ,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,6.159752681,6.115296254,6.07542567,6.037714249,..
Lao PDR,LAO,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,16.94095072,16.87672812,16.80277564,16.73231578,..
Latvia,LVA,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,4.347701174,4.305626409,4.267590952,4.232556976,..
Lebanon,LBN,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,12.47426823,12.52125339,12.56637114,12.59960101,..
Lesotho,LSO,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,14.63635439,14.57876038,14.51406776,14.44742354,..
Liberia,LBR,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,19.80835968,19.84910526,19.86875088,19.8812653,..
Libya,LBY,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Liechtenstein,LIE,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Lithuania,LTU,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,4.65993888,4.636183586,4.597418672,4.397884914,..
Luxembourg,LUX,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.665716498,7.693525372,7.723324515,7.74989029,..
"Macao SAR, China",MAC,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Madagascar,MDG,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,19.04332611,18.92827309,18.81887394,18.71212047,..
Malawi,MWI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,15.75454101,15.70602917,15.64313496,15.57640226,..
Malaysia,MYS,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,13.4694999,13.56911773,13.68390973,13.81137628,..
Maldives,MDV,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,13.77859159,13.74843688,13.72304818,13.71833802,..
Mali,MLI,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Malta,MLT,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,7.091023408,7.117934101,7.150098387,7.184098646,..
Marshall Islands,MHL,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Mauritania,MRT,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..,..,..,..,..
Mauritius,MUS,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,18.79144117,18.74402725,18.71573023,18.69435005,..
Mexico,MEX,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,10.15418834,10.15536283,10.15518242,10.15384708,..
